Domain	Phylum	Class	Order	Family	Genus	Species	SGB	altNames
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp910586445	SGB41435	Eubacterium_J sp910586445 [SGB41435]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp910586045	SGB41436	Eubacterium_J sp910586045 [SGB41436]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp910579075	SGB41437	Eubacterium_J sp910579075 [SGB41437]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp910584345	SGB41440	Eubacterium_J sp910584345 [SGB41440]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp009774535	SGB41443	Eubacterium_J sp009774535 [SGB41443]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J sp910574915	SGB41444	Eubacterium_J sp910574915 [SGB41444]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910577785	SGB41446	14-2 sp910577785 [SGB41446]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp009774455	SGB41451	14-2 sp009774455 [SGB41451]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910585625	SGB41455	14-2 sp910585625 [SGB41455]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910588845	SGB41457	14-2 sp910588845 [SGB41457]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910578825	SGB41459	14-2 sp910578825 [SGB41459]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910575005	SGB41462	14-2 sp910575005 [SGB41462]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp910588285	SGB41465	14-2 sp910588285 [SGB41465]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910586355	SGB41472	1XD42-69 sp910586355 [SGB41472]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910589105	SGB41473	1XD42-69 sp910589105 [SGB41473]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910577065	SGB41474	1XD42-69 sp910577065 [SGB41474]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp009911505	SGB41475	1XD42-69 sp009911505 [SGB41475]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910586725	SGB41477	1XD42-69 sp910586725 [SGB41477]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910585825	SGB41478	1XD42-69 sp910585825 [SGB41478]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp910586645	SGB41479	1XD42-69 sp910586645 [SGB41479]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	1XD42-69 sp011959925	SGB41480	1XD42-69 sp011959925 [SGB41480]
Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia	Emergencia sp009936045	SGB41482	Emergencia sp009936045 [SGB41482]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp009774395	SGB41484	COE1 sp009774395 [SGB41484]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	MGBC136627	MGBC136627 sp910585935	SGB41485	MGBC136627 sp910585935 [SGB41485]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp910586585	SGB41486	COE1 sp910586585 [SGB41486]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp910577115	SGB41487	COE1 sp910577115 [SGB41487]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp910578795	SGB41489	COE1 sp910578795 [SGB41489]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp003513705	SGB41492	COE1 sp003513705 [SGB41492]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp009774245	SGB41494	COE1 sp009774245 [SGB41494]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp009774375	SGB41495	COE1 sp009774375 [SGB41495]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp910585765	SGB41496	COE1 sp910585765 [SGB41496]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp910588595	SGB41497	COE1 sp910588595 [SGB41497]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp009774345	SGB41498	COE1 sp009774345 [SGB41498]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp910586405	SGB41500	COE1 sp910586405 [SGB41500]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	W0P33-017	W0P33-017 sp910589045	SGB41503	W0P33-017 sp910589045 [SGB41503]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Merdisoma	Merdisoma sp910587955	SGB41505	Merdisoma sp910587955 [SGB41505]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Merdisoma		SGB41507	Merdisoma  [SGB41507]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Merdisoma	Merdisoma sp910574255	SGB41508	Merdisoma sp910574255 [SGB41508]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Merdisoma	Merdisoma sp011959465	SGB41510	Merdisoma sp011959465 [SGB41510]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Merdisoma	Merdisoma sp910576325	SGB41511	Merdisoma sp910576325 [SGB41511]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladocola	Choladocola sp910585995	SGB41512	Choladocola sp910585995 [SGB41512]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladocola	Choladocola sp910575445	SGB41513	Choladocola sp910575445 [SGB41513]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladocola	Choladocola sp910587495	SGB41514	Choladocola sp910587495 [SGB41514]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladocola	Choladocola sp910574965	SGB41516	Choladocola sp910574965 [SGB41516]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladocola	Choladocola sp009774145	SGB41518	Choladocola sp009774145 [SGB41518]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladocola	Choladocola sp009774135	SGB41519	Choladocola sp009774135 [SGB41519]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladocola	Choladocola sp910584205	SGB41521	Choladocola sp910584205 [SGB41521]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladocola	Choladocola sp910583615	SGB41522	Choladocola sp910583615 [SGB41522]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladocola	Choladocola sp910584945	SGB41523	Choladocola sp910584945 [SGB41523]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladocola	Choladocola sp910579225	SGB41524	Choladocola sp910579225 [SGB41524]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910586215	SGB41531	Acetatifactor sp910586215 [SGB41531]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910577185	SGB41533	Acetatifactor sp910577185 [SGB41533]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910584865	SGB41535	Acetatifactor sp910584865 [SGB41535]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910585805	SGB41537	Acetatifactor sp910585805 [SGB41537]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910587555	SGB41538	Acetatifactor sp910587555 [SGB41538]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910589035	SGB41542	Acetatifactor sp910589035 [SGB41542]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910584235	SGB41543	Acetatifactor sp910584235 [SGB41543]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910585615	SGB41545	Acetatifactor sp910585615 [SGB41545]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910585425	SGB41546	Acetatifactor sp910585425 [SGB41546]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910576125	SGB41548	Acetatifactor sp910576125 [SGB41548]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910585665	SGB41549	Acetatifactor sp910585665 [SGB41549]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910585015	SGB41553	Acetatifactor sp910585015 [SGB41553]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910589655	SGB41555	Acetatifactor sp910589655 [SGB41555]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp910579755	SGB41559	Acetatifactor sp910579755 [SGB41559]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7050	UBA7050 sp003979345	SGB41560	UBA7050 sp003979345 [SGB41560]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	VSOB01	VSOB01 sp910587635	SGB41561	VSOB01 sp910587635 [SGB41561]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	VSOB01	VSOB01 sp910589075	SGB41564	VSOB01 sp910589075 [SGB41564]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	VSOB01	VSOB01 sp910587155	SGB41565	VSOB01 sp910587155 [SGB41565]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	VSOB01	VSOB01 sp009774625	SGB41566	VSOB01 sp009774625 [SGB41566]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8-76	1XD8-76 sp910573755	SGB41569	1XD8-76 sp910573755 [SGB41569]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8-76		SGB41570	1XD8-76  [SGB41570]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp910579395	SGB41574	UBA3282 sp910579395 [SGB41574]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp910577735	SGB41580	UBA3282 sp910577735 [SGB41580]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp910575775	SGB41586	UBA3282 sp910575775 [SGB41586]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp009774215	SGB41589	UBA3282 sp009774215 [SGB41589]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp009774175	SGB41592	UBA3282 sp009774175 [SGB41592]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp910575245	SGB41594	UBA3282 sp910575245 [SGB41594]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp910588215	SGB41595	UBA3282 sp910588215 [SGB41595]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp910578115	SGB41596	UBA3282 sp910578115 [SGB41596]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp009774655	SGB41597	UBA3282 sp009774655 [SGB41597]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3282	UBA3282 sp009774575	SGB41598	UBA3282 sp009774575 [SGB41598]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	Kineothrix sp910579935	SGB41604	Kineothrix sp910579935 [SGB41604]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	Kineothrix sp910586275	SGB41607	Kineothrix sp910586275 [SGB41607]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	Kineothrix sp011958945	SGB41609	Kineothrix sp011958945 [SGB41609]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	Kineothrix sp009911195	SGB41611	Kineothrix sp009911195 [SGB41611]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	Kineothrix sp910588855	SGB41612	Kineothrix sp910588855 [SGB41612]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp011959285	SGB41615	CAG-95 sp011959285 [SGB41615]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp009911035	SGB41617	CAG-95 sp009911035 [SGB41617]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp910587295	SGB41621	CAG-95 sp910587295 [SGB41621]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp910585005	SGB41622	CAG-95 sp910585005 [SGB41622]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp910579685	SGB41623	CAG-95 sp910579685 [SGB41623]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp910586025	SGB41624	CAG-95 sp910586025 [SGB41624]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp910579425	SGB41625	CAG-95 sp910579425 [SGB41625]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp009917455	SGB41627	CAG-95 sp009917455 [SGB41627]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA2882	UBA2882 sp910574745	SGB41629	UBA2882 sp910574745 [SGB41629]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-510	CAG-510 sp003979355	SGB41631	CAG-510 sp003979355 [SGB41631]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Paralachnospira		SGB41634	Paralachnospira  [SGB41634]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Paralachnospira_A	Paralachnospira_A sp910588405	SGB41635	Paralachnospira_A sp910588405 [SGB41635]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Paralachnospira_A		SGB41637	Paralachnospira_A  [SGB41637]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	Clostridium_Q sp009911305	SGB41644	Clostridium_Q sp009911305 [SGB41644]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	Clostridium_Q sp910575795	SGB41645	Clostridium_Q sp910575795 [SGB41645]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Copromonas	Copromonas sp009917545	SGB41647	Copromonas sp009917545 [SGB41647]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	UMGS1370 sp910577645	SGB41650	UMGS1370 sp910577645 [SGB41650]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Caccovicinus	Caccovicinus sp910585635	SGB41652	Caccovicinus sp910585635 [SGB41652]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Caccovicinus	Caccovicinus sp910575565	SGB41654	Caccovicinus sp910575565 [SGB41654]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Caccovicinus	Caccovicinus sp009774615	SGB41655	Caccovicinus sp009774615 [SGB41655]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Caccovicinus	Caccovicinus sp910584785	SGB41656	Caccovicinus sp910584785 [SGB41656]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp910579515	SGB41657	UBA3402 sp910579515 [SGB41657]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp910585435	SGB41658	UBA3402 sp910585435 [SGB41658]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402		SGB41662	UBA3402  [SGB41662]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp910588505	SGB41663	UBA3402 sp910588505 [SGB41663]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp910575585	SGB41664	UBA3402 sp910575585 [SGB41664]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp910588865	SGB41665	UBA3402 sp910588865 [SGB41665]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp910577935	SGB41666	UBA3402 sp910577935 [SGB41666]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp910574345	SGB41667	UBA3402 sp910574345 [SGB41667]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp910586845	SGB41668	UBA3402 sp910586845 [SGB41668]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas	Ventrimonas sp910584845	SGB41669	Ventrimonas sp910584845 [SGB41669]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas	Ventrimonas sp910586255	SGB41670	Ventrimonas sp910586255 [SGB41670]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas		SGB41671	Ventrimonas  [SGB41671]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas	Ventrimonas sp910575255	SGB41672	Ventrimonas sp910575255 [SGB41672]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas	Ventrimonas sp009911065	SGB41675	Ventrimonas sp009911065 [SGB41675]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas	Ventrimonas sp910586205	SGB41677	Ventrimonas sp910586205 [SGB41677]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas	Ventrimonas sp910577655	SGB41678	Ventrimonas sp910577655 [SGB41678]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas	Ventrimonas sp910577765	SGB41679	Ventrimonas sp910577765 [SGB41679]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	MGBC164599	MGBC164599 sp910575625	SGB41692	MGBC164599 sp910575625 [SGB41692]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA11957		SGB41693	UBA11957  [SGB41693]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA11957	UBA11957 sp910588295	SGB41694	UBA11957 sp910588295 [SGB41694]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	Eubacterium_F sp910574015	SGB41701	Eubacterium_F sp910574015 [SGB41701]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	Eubacterium_F sp910584245	SGB41704	Eubacterium_F sp910584245 [SGB41704]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	Eubacterium_F sp910589665	SGB41705	Eubacterium_F sp910589665 [SGB41705]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	RGIG4057	RGIG4057 sp910587085	SGB41708	RGIG4057 sp910587085 [SGB41708]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	RGIG4057	RGIG4057 sp910577675	SGB41712	RGIG4057 sp910577675 [SGB41712]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	RGIG4057		SGB41713	RGIG4057  [SGB41713]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	MGBC114844	MGBC114844 sp910579865	SGB41714	MGBC114844 sp910579865 [SGB41714]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	RGIG8607	RGIG8607 sp910588535	SGB41717	RGIG8607 sp910588535 [SGB41717]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	RGIG8607	RGIG8607 sp910577045	SGB41718	RGIG8607 sp910577045 [SGB41718]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp910589305	SGB41719	Lachnospira sp910589305 [SGB41719]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-303	CAG-303 sp910577835	SGB41721	CAG-303 sp910577835 [SGB41721]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	Butyribacter sp009774235	SGB41723	Butyribacter sp009774235 [SGB41723]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	Butyribacter sp910579085	SGB41724	Butyribacter sp910579085 [SGB41724]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	Butyribacter sp910588655	SGB41725	Butyribacter sp910588655 [SGB41725]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	Butyribacter sp910586605	SGB41729	Butyribacter sp910586605 [SGB41729]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	Butyribacter sp910585905	SGB41731	Butyribacter sp910585905 [SGB41731]
Bacteria	Firmicutes_B	Dehalobacteriia	UBA4068	UBA5755	Avidehalobacter		SGB42316	Avidehalobacter  [SGB42316]
Bacteria	Firmicutes_B	Dehalobacteriia	UBA4068	UBA5755	Avidehalobacter		SGB42317	Avidehalobacter  [SGB42317]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	Ruminiclostridium_E sp910585505	SGB42338	Ruminiclostridium_E sp910585505 [SGB42338]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115	CAG-115 sp910577365	SGB42342	CAG-115 sp910577365 [SGB42342]
Bacteria	Firmicutes_A	Clostridia	UBA1381	UBA1381	CAG-41	CAG-41 sp010206265	SGB42354	CAG-41 sp010206265 [SGB42354]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	RGIG8773	RGIG8773 sp910586535	SGB42426	RGIG8773 sp910586535 [SGB42426]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp011958665	SGB42493	Eubacterium_R sp011958665 [SGB42493]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp009774735	SGB42494	Eubacterium_R sp009774735 [SGB42494]
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	MGBC163016	MGBC163016 sp910588205	SGB42945	MGBC163016 sp910588205 [SGB42945]
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	MGBC163016	MGBC163016 sp910589135	SGB42949	MGBC163016 sp910589135 [SGB42949]
