feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
PWY-7761: NAD salvage pathway II (PNC IV cycle)	treatment	F. prausnitzii	treatmentF. prausnitzii	0.839203766471572	0.04765376185067101	0.18991515632936945	0.001199282410646374	0.37726016352249303	0.001199282410646374	0.2875684089595474	NA	linear	16	16
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.5561097985730767	0.04765376185067101	0.1504923375838066	0.0018493145270710443	0.37726016352249303	0.0018493145270710443	0.2875684089595474	NA	linear	16	16
FERMENTATION-PWY: mixed acid fermentation	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.5519894476730943	0.04765376185067101	0.1736944419297957	0.004928866381684327	0.4262253675330674	0.004928866381684327	0.3248923757421176	NA	linear	16	16
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	treatment	F. prausnitzii	treatmentF. prausnitzii	1.1931047359654365	0.04765376185067101	0.38101867292346747	0.009859200869360096	0.4262253675330674	0.009859200869360096	0.3248923757421176	NA	linear	16	16
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	1.0254210008751226	0.04765376185067101	0.3146207764594486	0.008234779423038963	0.4262253675330674	0.008234779423038963	0.3248923757421176	NA	linear	16	16
PWY-6527: stachyose degradation	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.2368500068882849	0.04765376185067101	0.07392845886923914	0.005798003485113057	0.4262253675330674	0.005798003485113057	0.3248923757421176	NA	linear	16	16
PWY-8073: lipid IVA biosynthesis (P. putida)	treatment	F. prausnitzii	treatmentF. prausnitzii	1.1931047359654365	0.04765376185067101	0.38101867292346747	0.009825356497916715	0.4262253675330674	0.009825356497916715	0.3248923757421176	NA	linear	16	16
PWY0-1261: anhydromuropeptides recycling I	treatment	F. prausnitzii	treatmentF. prausnitzii	1.2281366583162883	0.04765376185067101	0.3787980140887824	0.007888691688749838	0.4262253675330674	0.007888691688749838	0.3248923757421176	NA	linear	16	16
PWY0-1477: ethanolamine utilization	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.5683392302273617	0.04765376185067101	0.20317658771838037	0.010446700184634006	0.4262253675330674	0.010446700184634006	0.3248923757421176	NA	linear	16	16
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.36138962601458	0.04765376185067101	0.12495860722349884	0.008367942082092128	0.4262253675330674	0.008367942082092128	0.3248923757421176	NA	linear	16	16
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	treatment	F. prausnitzii	treatmentF. prausnitzii	1.3699858176477717	0.04765376185067101	0.4659631282304464	0.01355029852110512	0.5025928906009899	0.01355029852110512	0.3831038945512448	NA	linear	16	16
PWY-8131: 5'-deoxyadenosine degradation II	treatment	F. prausnitzii	treatmentF. prausnitzii	-1.508284740577938	0.04765376185067101	0.5744784639563284	0.017234545862921502	0.5859745593393311	0.017234545862921502	0.44666198028071563	NA	linear	16	16
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	treatment	F. prausnitzii	treatmentF. prausnitzii	1.218256895781393	0.04765376185067101	0.5060674876398547	0.03705465668357211	0.5893931813540415	0.03705465668357211	0.4991864907437552	NA	linear	16	16
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.19730423004955291	0.04765376185067101	0.11960233818530681	0.07669974629935972	0.5893931813540415	0.07669974629935972	0.4991864907437552	NA	linear	16	16
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.2172126955361128	0.04765376185067101	0.13017356354073759	0.07556651821105209	0.5893931813540415	0.07556651821105209	0.4991864907437552	NA	linear	16	16
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.12640802332887568	0.04765376185067101	0.0911073789551085	0.11002996625655226	0.5893931813540415	0.11002996625655226	0.4991864907437552	NA	linear	16	16
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	treatment	F. prausnitzii	treatmentF. prausnitzii	1.4941961782169622	0.04765376185067101	0.5476759542047402	0.019685716776018936	0.5893931813540415	0.019685716776018936	0.47094291671860683	NA	linear	16	16
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.13955212915109821	0.04765376185067101	0.06496292060349021	0.03449908402172697	0.5893931813540415	0.03449908402172697	0.4991864907437552	NA	linear	16	16
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	treatment	F. prausnitzii	treatmentF. prausnitzii	-2.045825441281346	0.04765376185067101	0.8584630182004253	0.0589858833192064	0.5893931813540415	0.11449243220746579	0.4991864907437552	NA	linear	16	7
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	treatment	F. prausnitzii	treatmentF. prausnitzii	0.4281366021798534	0.04765376185067101	0.21476847154238116	0.10516987556635837	0.5893931813540415	0.10516987556635837	0.4991864907437552	NA	linear	16	16
GLUTORN-PWY: L-ornithine biosynthesis I	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.3035607743221708	0.04765376185067101	0.16499633674392145	0.05947206528122695	0.5893931813540415	0.05947206528122695	0.4991864907437552	NA	linear	16	16
GLYCOCAT-PWY: glycogen degradation I	treatment	F. prausnitzii	treatmentF. prausnitzii	1.1726148904246363	0.04765376185067101	0.515360069331623	0.0473742920849487	0.5893931813540415	0.0473742920849487	0.4991864907437552	NA	linear	16	16
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	treatment	F. prausnitzii	treatmentF. prausnitzii	1.3657825913320527	0.04765376185067101	0.583258542727625	0.04084091900634179	0.5893931813540415	0.04084091900634179	0.4991864907437552	NA	linear	16	16
HISDEG-PWY: L-histidine degradation I	treatment	F. prausnitzii	treatmentF. prausnitzii	0.609462938424895	0.04765376185067101	0.29151887197237886	0.07772445860654709	0.5893931813540415	0.07772445860654709	0.4991864907437552	NA	linear	16	16
LACTOSECAT-PWY: lactose and galactose degradation I	treatment	F. prausnitzii	treatmentF. prausnitzii	1.700418819999356	0.04765376185067101	0.8453415744464777	0.07112138208525476	0.5893931813540415	0.07112138208525476	0.4991864907437552	NA	linear	16	16
METH-ACETATE-PWY: methanogenesis from acetate	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.3313106839119737	0.04765376185067101	0.20679873773166635	0.09510597395777876	0.5893931813540415	0.09510597395777876	0.4991864907437552	NA	linear	16	16
P161-PWY: acetylene degradation (anaerobic)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.4041380912122179	0.04765376185067101	0.23968423189245205	0.08555942297634966	0.5893931813540415	0.08555942297634966	0.4991864907437552	NA	linear	16	16
P164-PWY: purine nucleobases degradation I (anaerobic)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.4865485437966895	0.04765376185067101	0.2278628432651292	0.03765978189965313	0.5893931813540415	0.03765978189965313	0.4991864907437552	NA	linear	16	16
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.18677051628254956	0.04765376185067101	0.11693312005440809	0.08373214817129826	0.5893931813540415	0.08373214817129826	0.4991864907437552	NA	linear	16	16
PENTOSE-P-PWY: pentose phosphate pathway	treatment	F. prausnitzii	treatmentF. prausnitzii	0.9816469590333543	0.04765376185067101	0.42903213560489917	0.04809880971373315	0.5893931813540415	0.04809880971373315	0.4991864907437552	NA	linear	16	16
PWY-1042: glycolysis IV	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.12408621497420459	0.04765376185067101	0.07710823567988738	0.07716672666383673	0.5893931813540415	0.07716672666383673	0.4991864907437552	NA	linear	16	16
PWY-2941: L-lysine biosynthesis II	treatment	F. prausnitzii	treatmentF. prausnitzii	0.7420292884916967	0.04765376185067101	0.33534043785548817	0.059300393070133905	0.5893931813540415	0.059300393070133905	0.4991864907437552	NA	linear	16	16
PWY-5005: biotin biosynthesis II	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.4769964283699976	0.04765376185067101	0.26280217435698017	0.06917296101931769	0.5893931813540415	0.06917296101931769	0.4991864907437552	NA	linear	16	16
PWY-5100: pyruvate fermentation to acetate and lactate II	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.17366527181067515	0.04765376185067101	0.11513166408342827	0.09620050714698891	0.5893931813540415	0.09620050714698891	0.4991864907437552	NA	linear	16	16
PWY-5130: 2-oxobutanoate degradation I	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.7277880346295337	0.04765376185067101	0.29179490714014905	0.021017694780037566	0.5893931813540415	0.04159364606620832	0.4991864907437552	NA	linear	16	15
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	treatment	F. prausnitzii	treatmentF. prausnitzii	0.8148108215648449	0.04765376185067101	0.4152221879046781	0.08740563116202926	0.5893931813540415	0.08740563116202926	0.4991864907437552	NA	linear	16	16
PWY-6123: inosine-5'-phosphate biosynthesis I	treatment	F. prausnitzii	treatmentF. prausnitzii	0.36485715060518625	0.04765376185067101	0.1742570348249239	0.10017025118104472	0.5893931813540415	0.10017025118104472	0.4991864907437552	NA	linear	16	16
PWY-6124: inosine-5'-phosphate biosynthesis II	treatment	F. prausnitzii	treatmentF. prausnitzii	0.3929038964612682	0.04765376185067101	0.18636379984976137	0.09397037946793496	0.5893931813540415	0.09397037946793496	0.4991864907437552	NA	linear	16	16
PWY-621: sucrose degradation III (sucrose invertase)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.6973460378448223	0.04765376185067101	0.3465892416926303	0.05126498771382182	0.5893931813540415	0.05126498771382182	0.4991864907437552	NA	linear	16	16
PWY-6270: isoprene biosynthesis I	treatment	F. prausnitzii	treatmentF. prausnitzii	1.1830472153282698	0.04765376185067101	0.6751938534508289	0.11556729046157677	0.5893931813540415	0.11556729046157677	0.4991864907437552	NA	linear	16	16
PWY-6317: D-galactose degradation I (Leloir pathway)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.12978109863044165	0.04765376185067101	0.060281063017684225	0.03494215380490351	0.5893931813540415	0.03494215380490351	0.4991864907437552	NA	linear	16	16
PWY-6353: purine nucleotides degradation II (aerobic)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.27005769442513294	0.04765376185067101	0.15618386320143196	0.07189018753851417	0.5893931813540415	0.07189018753851417	0.4991864907437552	NA	linear	16	16
PWY-6531: mannitol cycle	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.3984072148639726	0.04765376185067101	0.2022166615032853	0.05070446261778683	0.5893931813540415	0.09883798270621512	0.4991864907437552	NA	linear	16	15
PWY-6562: norspermidine biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.38446508458028256	0.04765376185067101	0.21978710026587867	0.07808432566418433	0.5893931813540415	0.15007148941393827	0.5556218239016049	NA	linear	16	14
PWY-6565: superpathway of polyamine biosynthesis III	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.39999565828875266	0.04765376185067101	0.22007989054669255	0.06972069300670192	0.5893931813540415	0.1345804109800691	0.5262521116259095	NA	linear	16	14
PWY-6588: pyruvate fermentation to acetone	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.8086819807025748	0.04765376185067101	0.4519475399798285	0.08024161264861995	0.5893931813540415	0.08024161264861995	0.4991864907437552	NA	linear	16	16
PWY-6609: adenine and adenosine salvage III	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.10066744484081608	0.04765376185067101	0.06193820684964636	0.07592630627272556	0.5893931813540415	0.07592630627272556	0.4991864907437552	NA	linear	16	16
PWY-6876: isopropanol biosynthesis (engineered)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.9365023106971349	0.04765376185067101	0.4863184474583941	0.0667823824364695	0.5893931813540415	0.12910487826904812	0.5262521116259095	NA	linear	16	14
PWY-6901: superpathway of glucose and xylose degradation	treatment	F. prausnitzii	treatmentF. prausnitzii	0.699008414253064	0.04765376185067101	0.3499772681636456	0.08634759652893242	0.5893931813540415	0.08634759652893242	0.4991864907437552	NA	linear	16	16
PWY-6902: chitin degradation II (Vibrio)	treatment	F. prausnitzii	treatmentF. prausnitzii	1.148740643753066	0.04765376185067101	0.46989112522872617	0.035057950955663	0.5893931813540415	0.035057950955663	0.4991864907437552	NA	linear	16	16
PWY-7209: superpathway of pyrimidine ribonucleosides degradation	treatment	F. prausnitzii	treatmentF. prausnitzii	1.6002562103363775	0.04765376185067101	0.5197740043223065	0.04094825278853198	0.5893931813540415	0.08021974617063043	0.4991864907437552	NA	linear	16	6
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	-2.1009752643993775	0.04765376185067101	0.9196147064769473	0.05230800884611919	0.5893931813540415	0.10187988990279272	0.4991864907437552	NA	linear	16	9
PWY-7221: guanosine ribonucleotides de novo biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	0.2210663120304771	0.04765376185067101	0.08953696392654856	0.10709885925725526	0.5893931813540415	0.10709885925725526	0.4991864907437552	NA	linear	16	16
PWY-7238: sucrose biosynthesis II	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.2500892207518794	0.04765376185067101	0.17098189988534035	0.11484711251022839	0.5893931813540415	0.11484711251022839	0.4991864907437552	NA	linear	16	16
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.34500441027122447	0.04765376185067101	0.1808642728810832	0.05431626867335093	0.5893931813540415	0.05431626867335093	0.4991864907437552	NA	linear	16	16
PWY-7316: dTDP-N-acetylviosamine biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.9738577323144888	0.04765376185067101	0.4308378909385628	0.033454063136100665	0.5893931813540415	0.033454063136100665	0.4991864907437552	NA	linear	16	16
PWY-7456: &beta;-(1,4)-mannan degradation	treatment	F. prausnitzii	treatmentF. prausnitzii	0.7519072708083817	0.04765376185067101	0.2899739585246583	0.030792038799188348	0.5893931813540415	0.030792038799188348	0.4991864907437552	NA	linear	16	16
PWY-7560: methylerythritol phosphate pathway II	treatment	F. prausnitzii	treatmentF. prausnitzii	1.221924654250707	0.04765376185067101	0.6939025075693612	0.11326402522698098	0.5893931813540415	0.11326402522698098	0.4991864907437552	NA	linear	16	16
PWY-7616: methanol oxidation to carbon dioxide	treatment	F. prausnitzii	treatmentF. prausnitzii	1.1682847567363293	0.04765376185067101	0.5527710144724783	0.11341824332925476	0.5893931813540415	0.21397278873861536	0.6590213737847839	NA	linear	16	6
PWY-8004: Entner-Doudoroff pathway I	treatment	F. prausnitzii	treatmentF. prausnitzii	1.3881353874828475	0.04765376185067101	0.7072461948529124	0.07932935721669787	0.5893931813540415	0.07932935721669787	0.4991864907437552	NA	linear	16	16
PWY0-1296: purine ribonucleosides degradation	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.21207785455739242	0.04765376185067101	0.10241054036695117	0.03680567570144544	0.5893931813540415	0.03680567570144544	0.4991864907437552	NA	linear	16	16
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.4111023340509528	0.04765376185067101	0.24869714006976917	0.09094108234148512	0.5893931813540415	0.09094108234148512	0.4991864907437552	NA	linear	16	16
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.3839522460898431	0.04765376185067101	0.23501315638885048	0.0930009116462922	0.5893931813540415	0.0930009116462922	0.4991864907437552	NA	linear	16	16
PWY66-389: phytol degradation	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.3323160044127989	0.04765376185067101	0.024701185099535998	0.0877009757963263	0.5893931813540415	0.16771049043702482	0.5838703928500513	NA	linear	16	3
PWY66-399: gluconeogenesis III	treatment	F. prausnitzii	treatmentF. prausnitzii	0.521282780407461	0.04765376185067101	0.22469731761177839	0.057724870973154374	0.5893931813540415	0.057724870973154374	0.4991864907437552	NA	linear	16	16
RUMP-PWY: formaldehyde oxidation I	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.7018620427020058	0.04765376185067101	0.40365552721810405	0.11464247802546601	0.5893931813540415	0.2161420582831124	0.6590213737847839	NA	linear	16	8
UNMAPPED	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.07087063779335778	0.04765376185067101	0.0530139432485029	0.11476301654382914	0.5893931813540415	0.11476301654382914	0.4991864907437552	NA	linear	16	16
VALSYN-PWY: L-valine biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.18859222349870977	0.04765376185067101	0.11009447433556231	0.06820185257001898	0.5893931813540415	0.06820185257001898	0.4991864907437552	NA	linear	16	16
PWY-5695: inosine 5'-phosphate degradation	treatment	F. prausnitzii	treatmentF. prausnitzii	0.5067873194519135	0.04765376185067101	0.2737819156224239	0.12006063622484586	0.6047498713547792	0.12006063622484586	0.5045791603503658	NA	linear	16	16
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	0.4236184761180424	0.04765376185067101	0.23166332072562565	0.1332639294616218	0.6422464449844344	0.1332639294616218	0.5262521116259095	NA	linear	16	16
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.19338475195903576	0.04765376185067101	0.14520325456527694	0.13537031810312783	0.6422464449844344	0.13537031810312783	0.5262521116259095	NA	linear	16	16
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.11784826748588892	0.04765376185067101	0.09208715655436825	0.12956451840305605	0.6422464449844344	0.12956451840305605	0.5262521116259095	NA	linear	16	16
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	treatment	F. prausnitzii	treatmentF. prausnitzii	0.42458284247891626	0.04765376185067101	0.2363030809144046	0.13904458966853062	0.6422464449844344	0.13904458966853062	0.5338625603322595	NA	linear	16	16
PWY-2942: L-lysine biosynthesis III	treatment	F. prausnitzii	treatmentF. prausnitzii	0.16306721167164492	0.04765376185067101	0.0584526204223563	0.14471903519761098	0.6422464449844344	0.14471903519761098	0.5426398323852656	NA	linear	16	16
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	0.8208967833573556	0.04765376185067101	0.4828688028183628	0.14197365864432576	0.6422464449844344	0.1949236013173592	0.6249612372133888	NA	linear	16	12
PWY-6549: L-glutamine biosynthesis III	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.675581737018347	0.04765376185067101	0.46001842412136473	0.14152451640149155	0.6422464449844344	0.26301984406030676	0.6752880382991812	NA	linear	16	15
PWY-7111: pyruvate fermentation to isobutanol (engineered)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.25825752705367977	0.04765376185067101	0.19285164803465438	0.1448202768102156	0.6422464449844344	0.1448202768102156	0.5426398323852656	NA	linear	16	16
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.12938032309197403	0.04765376185067101	0.10108538155448231	0.13237454317441832	0.6422464449844344	0.13237454317441832	0.5262521116259095	NA	linear	16	16
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	1.760679345729582	0.04765376185067101	0.8838272635321103	0.148298336146502	0.6494566437788746	0.2746042757891831	0.6752880382991812	NA	linear	16	5
ANAEROFRUCAT-PWY: homolactic fermentation	treatment	F. prausnitzii	treatmentF. prausnitzii	0.45367926926755137	0.04765376185067101	0.26965798394581836	0.1596957446224292	0.661071966826147	0.1596957446224292	0.5793948114370989	NA	linear	16	16
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	treatment	F. prausnitzii	treatmentF. prausnitzii	-1.219528352303337	0.04765376185067101	0.6800369079592004	0.15990615609170122	0.661071966826147	0.2579270986933059	0.6752880382991812	NA	linear	16	5
PWY-6606: guanosine nucleotides degradation II	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.3008316443202674	0.04765376185067101	0.23192162373736797	0.1620815067364232	0.6612925474846066	0.1620815067364232	0.5793948114370989	NA	linear	16	16
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	treatment	F. prausnitzii	treatmentF. prausnitzii	0.3122247436007512	0.04765376185067101	0.17538601786810265	0.1667853059071993	0.6737465822785873	0.1667853059071993	0.5838703928500513	NA	linear	16	16
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.2191364268294844	0.04765376185067101	0.1784033174966195	0.16896570854181547	0.6758628341672619	0.16896570854181547	0.5838703928500513	NA	linear	16	16
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	treatment	F. prausnitzii	treatmentF. prausnitzii	1.0683112013375478	0.04765376185067101	0.7099176295548644	0.17300433455739217	0.6802153130309206	0.17300433455739217	0.5854003543913323	NA	linear	16	16
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	treatment	F. prausnitzii	treatmentF. prausnitzii	1.0523418184963738	0.04765376185067101	0.7020071228580009	0.17505541144178105	0.6802153130309206	0.17505541144178105	0.5854003543913323	NA	linear	16	16
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	treatment	F. prausnitzii	treatmentF. prausnitzii	1.0523418184963738	0.04765376185067101	0.7020071228580009	0.1747422021793743	0.6802153130309206	0.1747422021793743	0.5854003543913323	NA	linear	16	16
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	treatment	F. prausnitzii	treatmentF. prausnitzii	0.34890385798464124	0.04765376185067101	0.20883640923691	0.1803781237506894	0.69428560839888	0.1803781237506894	0.596782941345366	NA	linear	16	16
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	treatment	F. prausnitzii	treatmentF. prausnitzii	0.8673469960108764	0.04765376185067101	0.5921209963598847	0.19733077304745494	0.7000952643770575	0.35572211210340354	0.7682609504455452	NA	linear	16	12
FASYN-ELONG-PWY: fatty acid elongation -- saturated	treatment	F. prausnitzii	treatmentF. prausnitzii	0.9027156640241548	0.04765376185067101	0.6163604996068341	0.1963015101932173	0.7000952643770575	0.35406873748229684	0.7682609504455452	NA	linear	16	12
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.4852908920096712	0.04765376185067101	0.3889605820269697	0.19487898002563808	0.7000952643770575	0.19487898002563808	0.6249612372133888	NA	linear	16	16
PWY-5989: stearate biosynthesis II (bacteria and plants)	treatment	F. prausnitzii	treatmentF. prausnitzii	0.9027907754975785	0.04765376185067101	0.6128960989417206	0.1938720437690764	0.7000952643770575	0.35015771818295394	0.7682609504455452	NA	linear	16	12
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	treatment	F. prausnitzii	treatmentF. prausnitzii	0.9092116814064589	0.04765376185067101	0.6197297196873022	0.19569440824128126	0.7000952643770575	0.35309251506565686	0.7682609504455452	NA	linear	16	12
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	treatment	F. prausnitzii	treatmentF. prausnitzii	0.8829796579015551	0.04765376185067101	0.6006920258325066	0.19541581362682292	0.7000952643770575	0.3526442870382125	0.7682609504455452	NA	linear	16	12
PWY-7664: oleate biosynthesis IV (anaerobic)	treatment	F. prausnitzii	treatmentF. prausnitzii	0.9066347027118025	0.04765376185067101	0.6183744883969698	0.19553599822216983	0.7000952643770575	0.3528376698435989	0.7682609504455452	NA	linear	16	12
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	treatment	F. prausnitzii	treatmentF. prausnitzii	0.18448474419434732	0.04765376185067101	0.08714321229642177	0.18564069637396352	0.7000952643770575	0.18564069637396352	0.6077290165505542	NA	linear	16	16
PWY0-862: (5Z)-dodecenoate biosynthesis I	treatment	F. prausnitzii	treatmentF. prausnitzii	0.910605199585437	0.04765376185067101	0.6204134830818377	0.19526892799487605	0.7000952643770575	0.3524079017494839	0.7682609504455452	NA	linear	16	12
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	treatment	F. prausnitzii	treatmentF. prausnitzii	1.5312959725521393	0.04765376185067101	1.0637710348203526	0.20090225176023813	0.7066217130877341	0.11995651622314435	0.5045791603503658	NA	linear	16	10
KETOGLUCONMET-PWY: ketogluconate metabolism	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.3079280256179976	0.04765376185067101	0.26784600212040377	0.21127543031852403	0.7362195459475775	0.21127543031852403	0.6590213737847839	NA	linear	16	16
PWY-6305: superpathway of putrescine biosynthesis	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.40258874131941597	0.04765376185067101	0.34253897372535486	0.21311628720586595	0.7362195459475775	0.21311628720586595	0.6590213737847839	NA	linear	16	16
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.3512202146999429	0.04765376185067101	0.3038422960316276	0.2147307009013768	0.7362195459475775	0.2147307009013768	0.6590213737847839	NA	linear	16	16
CALVIN-PWY: Calvin-Benson-Bassham cycle	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.08303026168377804	0.04765376185067101	0.09898693883510733	0.2507721356075776	0.7384544633846118	0.2507721356075776	0.6752880382991812	NA	linear	16	16
